dataset,run_dir,ID,Description,collection,selected,consensus,stability,p.adjust,neg_log10_p_adjust,category
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0070371,ERK1 and ERK2 cascade,GO,TRUE,FALSE,0.94,2.914540065657633e-4,3.5354299701354357,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP176,Folate metabolism,WP,TRUE,FALSE,0.935,0.02164101778362147,1.6647223180841235,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0051607,defense response to virus,GO,TRUE,FALSE,0.935,0.02553905601550399,1.5927951593370597,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP3591,Sleep regulation,WP,TRUE,FALSE,0.92,0.02695965993946908,1.5692855901539107,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5477,Molecular pathway for oxidative stress,WP,TRUE,FALSE,0.915,0.03613335406337133,1.442091723358479,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5284,Cell interactions in pancreatic cancer microenvironment,WP,TRUE,FALSE,0.9,0.02695965993946908,1.5692855901539107,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO,TRUE,FALSE,0.895,0.01918010666129407,1.717148982030702,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0034341,response to type II interferon,GO,TRUE,FALSE,0.89,8.37262313610812e-5,4.0771384565753115,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP2865,IL1 and megakaryocytes in obesity,WP,TRUE,FALSE,0.885,0.02695965993946908,1.5692855901539107,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP1528,Physiological and pathological hypertrophy of the heart,WP,TRUE,FALSE,0.885,0.03681239653271216,1.4340059085230932,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP2324,AGE RAGE pathway,WP,TRUE,FALSE,0.88,0.0492817571141797,1.307313816034619,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5272,LDL influence on CD14 and TLR4,WP,TRUE,FALSE,0.845,0.04897618560476502,1.3100150419003562,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP3941,Oxidative damage response,WP,TRUE,FALSE,0.84,0.04020204513153988,1.3957518532152695,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP5265,Neurogenesis regulation in the olfactory epithelium,WP,TRUE,FALSE,0.82,0.04556473401112624,1.341371160622293,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,WP3947,Serotonin and anxiety,WP,TRUE,FALSE,0.805,0.04945937034694876,1.3057514168179545,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0043524,negative regulation of neuron apoptotic process,GO,TRUE,FALSE,0.725,0.03348095878563834,1.4752021137208953,Selected only
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0061001,regulation of dendritic spine morphogenesis,GO,FALSE,FALSE,0.68,0.02373159636634065,1.6246730468743487,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,GO,FALSE,TRUE,0.68,0.04685573129050467,1.3292372795765126,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO,FALSE,FALSE,0.6,0.00554333347929871,2.2562289940644322,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0014059,regulation of dopamine secretion,GO,FALSE,FALSE,0.585,0.01316985332542369,1.8804190618122363,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0043536,positive regulation of blood vessel endothelial cell migration,GO,FALSE,FALSE,0.44,0.01913434553079512,1.718186387749653,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0032801,receptor catabolic process,GO,FALSE,FALSE,0.38,0.01918010666129407,1.717148982030702,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0035249,"synaptic transmission, glutamatergic",GO,FALSE,FALSE,0.32,0.01565971088971324,1.8052162601683202,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0001764,neuron migration,GO,FALSE,FALSE,0.295,0.03776135666214644,1.4229524110821288,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0010976,positive regulation of neuron projection development,GO,FALSE,FALSE,0.27,0.0431650631290213,1.3648676195955074,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0006813,potassium ion transport,GO,FALSE,FALSE,0.24,8.677222456574849e-4,3.0616192684667713,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0060291,long-term synaptic potentiation,GO,FALSE,FALSE,0.235,0.01754337021397122,1.7558869717036758,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0042060,wound healing,GO,FALSE,FALSE,0.18,9.213771875497766e-7,6.035562544681448,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0045088,regulation of innate immune response,GO,FALSE,FALSE,0.175,1.6155221125926974e-5,4.7916870931639695,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0002437,inflammatory response to antigenic stimulus,GO,FALSE,FALSE,0.175,0.03699255538394613,1.4318856673108598,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0051056,regulation of small GTPase mediated signal transduction,GO,FALSE,FALSE,0.09,0.00934836326445558,2.029264419869536,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0010043,response to zinc ion,GO,FALSE,FALSE,0.09,0.03973914006134044,1.4007815350786301,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0007416,synapse assembly,GO,FALSE,FALSE,0.055,0.01407566986559613,1.8515309277725704,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0043087,regulation of GTPase activity,GO,FALSE,FALSE,0.025,0.00871547691114529,2.0597088432973214,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0030198,extracellular matrix organization,GO,FALSE,FALSE,0.025,0.02761534519440904,1.5588495236845539,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0006909,phagocytosis,GO,FALSE,FALSE,0.02,3.5568750578374956e-4,3.448931389985641,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0060326,cell chemotaxis,GO,FALSE,FALSE,0.01,8.275615333243631e-4,3.0821997043925053,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0042554,superoxide anion generation,GO,FALSE,FALSE,0.005,0.01861027214446733,1.7302472759838883,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0006959,humoral immune response,GO,FALSE,FALSE,0,7.441797244924399e-5,4.128322166699603,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0050727,regulation of inflammatory response,GO,FALSE,FALSE,0,1.1717487744472044e-4,3.931165492043805,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0050807,regulation of synapse organization,GO,FALSE,FALSE,0,9.791530794174628e-4,3.009149405899405,Filtered out
dataset_0,DATASE_0_BASELINE_2026-03-01_18-00-42,GO:0017157,regulation of exocytosis,GO,FALSE,FALSE,0,0.00411758457272751,2.3853574719173642,Filtered out
