ID,Description,GeneRatio,BgRatio,p-value,adj. p-value
WP430,Statin inhibition of cholesterol production,4/1363,20/6992,0.566,0.899
WP5046,NAD metabolism in oncogene induced senescence a...,4/1363,20/6992,0.566,0.899
WP5426,HDAC6 interactions in the central nervous system,20/1363,104/6992,0.567,0.899
WP2828,Bladder cancer,7/1363,36/6992,0.57,0.901
WP4545,Oxysterols derived from cholesterol,6/1363,31/6992,0.58,0.905
WP2876,Pregnane X receptor pathway,3/1363,15/6992,0.583,0.905
WP3287,Overview of nanoparticle effects,3/1363,15/6992,0.583,0.905
WP3644,NAD metabolism,3/1363,15/6992,0.583,0.905
WP4558,Interferon mediated signaling,3/1363,15/6992,0.583,0.905
WP4842,Mammalian disorder of sexual development,3/1363,15/6992,0.583,0.905
WP53,ID signaling,3/1363,15/6992,0.583,0.905
WP5412,8q11 23 RB1CC1 copy number variation,3/1363,15/6992,0.583,0.905
WP4258,lncRNA in canonical Wnt signaling and colorecta...,15/1363,79/6992,0.591,0.913
WP241,One carbon metabolism,5/1363,26/6992,0.592,0.913
WP5038,Mitochondrial immune response to SARS CoV 2,5/1363,26/6992,0.592,0.913
WP3527,Pre implantation embryo,7/1363,37/6992,0.601,0.918
WP4722,Glycerolipids and glycerophospholipids,4/1363,21/6992,0.608,0.918
WP712,Estrogen signaling,4/1363,21/6992,0.608,0.918
WP2333,Trans sulfuration pathway,2/1363,10/6992,0.609,0.918
WP4157,GABA metabolism aka GHB ,2/1363,10/6992,0.609,0.918
WP4583,Biomarkers for urea cycle disorders,2/1363,10/6992,0.609,0.918
WP4788,Autosomal recessive osteopetrosis pathways,2/1363,10/6992,0.609,0.918
WP5109,Familial hyperlipidemia type 2,2/1363,10/6992,0.609,0.918
WP5150,Spina bifida,2/1363,10/6992,0.609,0.918
WP5178,Disorders of fructose metabolism,2/1363,10/6992,0.609,0.918
WP1433,Nucleotide binding oligomerization domain NOD p...,6/1363,32/6992,0.613,0.92
WP4756,Renin angiotensin aldosterone system RAAS ,6/1363,32/6992,0.613,0.92
WP4673,Male infertility,18/1363,96/6992,0.615,0.92
WP1971,Integrated cancer pathway,8/1363,43/6992,0.62,0.926
WP5358,JAK STAT signaling in the regulation of beta cells,5/1363,27/6992,0.628,0.928
WP1742,TP53 network,3/1363,16/6992,0.629,0.928
WP2011,SREBF and miR33 in cholesterol and lipid homeos...,3/1363,16/6992,0.629,0.928
WP2878,PPAR alpha pathway,3/1363,16/6992,0.629,0.928
WP3874,Canonical and non canonical TGF B signaling,3/1363,16/6992,0.629,0.928
WP5176,Disorders of bile acid synthesis and biliary tr...,3/1363,16/6992,0.629,0.928
WP1982,Sterol regulatory element binding proteins SREB...,12/1363,65/6992,0.633,0.932
WP5287,17q12 copy number variation syndrome,11/1363,60/6992,0.642,0.934
WP3614,Photodynamic therapy induced HIF 1 survival sig...,6/1363,33/6992,0.645,0.934
WP422,MAPK cascade,6/1363,33/6992,0.645,0.934
WP4241,Type 2 papillary renal cell carcinoma,6/1363,33/6992,0.645,0.934
WP4595,Urea cycle and associated pathways,4/1363,22/6992,0.647,0.934
WP5294,Sildenafil treatment,4/1363,22/6992,0.647,0.934
WP5500,Bempedoic acid therapy in atherosclerosis and m...,4/1363,22/6992,0.647,0.934
WP4535,Envelope proteins and their potential roles in ...,8/1363,44/6992,0.647,0.934
