GeneID,meanExpr,log2FC,log2FC SE,p-value,adj. p-value
LPIN3,26.126190019832,1.42860419993839,0.439386599292203,4.70502808892415e-05,0.00920238597254406
CFI,38.2127629479864,1.65472385373023,0.513504170035147,5.05822225362453e-05,0.00978076248496306
CD14,288.328945996815,2.70709249661257,0.8558694287356,5.12058340502522e-05,0.00979009519324822
PLCB1,2894.960055512,-1.10459101567991,0.339428233780902,5.20707683085017e-05,0.00984484659486072
ADAM19,170.947339636882,-1.44623095779974,0.448508695311618,5.27465679156993e-05,0.00986302856762131
HTR6,57.8338942884818,-1.44180807415736,0.444174541696756,5.38994126748893e-05,0.00987719482972645
HMOX1,283.222340354306,2.66439181544999,0.850321938411501,5.43790118725553e-05,0.00987719482972645
IL18,20.9670337944165,1.74945035338043,0.544947836778063,5.45637232013568e-05,0.00987719482972645
ARID5A,149.33731105633,1.26850298898007,0.394521209064303,5.66744961438174e-05,0.0100671528396962
HTR1D,71.9139983103571,1.54800926559837,0.48547566726705,5.67963488840405e-05,0.0100671528396962
ENPP6,97.3254510035786,-1.18780456629623,0.370411045006176,5.97825333260056e-05,0.0104872122378898
MAP3K6,94.3927583047037,0.969687888928794,0.298502343331487,6.1682353940389e-05,0.010620115007738
TYRO3,3125.98813240577,-0.720839492298431,0.216403608681298,6.17883983172342e-05,0.010620115007738
LGI3,1501.13781872254,-0.754813279768191,0.228039672231134,6.38808412424362e-05,0.010869963945813
CA12,219.459645961309,2.62310252930398,0.854347980098547,6.50002979470756e-05,0.0109509412858162
NQO1,1817.31631707245,2.95280708608641,0.962083982086159,6.70220026452869e-05,0.0111808470295314
HACD4,108.90742911598,1.12726427058627,0.35508972370676,7.03290093608186e-05,0.0116186254687737
ACKR3,218.650260628119,1.31654213799784,0.4195656902133,7.23739970666024e-05,0.0118414993662049
LPAR3,66.8119588469778,2.22862379743514,0.73516057183681,7.41686504859055e-05,0.0120195595873159
PDLIM1,74.5009884189619,2.64505531248448,0.871074485219559,7.60983148284843e-05,0.01217889604833
S100A9,85.6014969606296,3.26604766382528,1.09330396635286,7.69753889164285e-05,0.01217889604833
TRIM25,321.897404098886,0.724686102229229,0.221205551546286,7.72990581346759e-05,0.01217889604833
SH3TC1,48.653686198182,1.74636379964471,0.569096360523662,8.199341337923e-05,0.0127047283229081
NAV3,1239.41837315098,-0.704461317802268,0.215904671598335,8.21297670145678e-05,0.0127047283229081
FBLN7,300.358642754253,-1.78630441935191,0.590802525725823,8.81738777656033e-05,0.0133790330669456
DGKI,890.049217895255,-1.33735442443225,0.436214153531305,8.86941984138104e-05,0.0133790330669456
NETO2,572.853742779335,-1.16892918416928,0.377988215483174,8.88475985287292e-05,0.0133790330669456
ICAM1,195.585230619193,2.78749247602071,0.940982651729583,9.11993214605381e-05,0.0136126987190572
ANO3,1121.24216563077,-1.40969744562433,0.463632740600729,9.33471812166984e-05,0.013718602246098
RETREG1,1014.14988550565,-0.737698006638552,0.230178047699394,9.41472711238657e-05,0.013718602246098
METTL7B,37.9056460841897,1.99227068214126,0.673018378935174,9.43274837090661e-05,0.013718602246098
ELK1,1957.85210068652,0.716016812753014,0.222685432246024,9.59364405900529e-05,0.0138343599413588
CA4,484.545761136956,-0.970517945195676,0.3122634041765,9.79484397903036e-05,0.0140058037938807
CXCL5,41.5283854599228,1.99989056449817,0.676095501258459,9.89954315494093e-05,0.0140375521937062
EPB41,210.759378849266,0.901287591058285,0.288565158789681,0.000101760674310682,0.0142880946082817
CCL2,214.035279795393,4.65210870318629,1.6656087480497,0.000102441675024116,0.0142880946082817
GJB2,71.6406599463135,1.43914596242126,0.480715612388327,0.000104754415526028,0.0143377585846905
FRMPD2B,221.812218241527,-2.00658511071984,0.680329873008215,0.00010500362084506,0.0143377585846905
DIO3,19.3083934886353,1.80680756374748,0.599596206836171,0.000105325565531636,0.0143377585846905
LRRC55,133.113606087665,-1.29712973646796,0.427889987274504,0.0001066099306454,0.0143699662762345
LINC02884,57.2407340576539,2.2615381435633,0.77498970794813,0.00010725508025297,0.0143699662762345
KCNB2,150.681848839117,-1.40888019961527,0.469958636835288,0.000109666055444172,0.0143699662762345
PLP2,56.9051076984694,1.85651154434911,0.633262884978272,0.000109711420396831,0.0143699662762345
KCNA1,692.233428321676,-1.33033088557071,0.443842626315268,0.000109784650676451,0.0143699662762345
OSMR,174.130893673964,1.58743361018191,0.534609117800924,0.000112281440793199,0.014584587759825
HMGCR,1743.10171941611,-1.04678983622813,0.344772323583342,0.000114451231639569,0.0146544910254315
CP,87.273930015642,1.03318259746883,0.340370077337718,0.000114542037281522,0.0146544910254315
LINGO3,94.9113347947095,-1.06222264740698,0.349596345429505,0.000116148030702291,0.0147008947326213
KCNV1,1403.0975035887,-1.49012677438944,0.504542670161095,0.000117628566783863,0.0147008947326213
FLJ33534,58.8360686784922,-1.07640091290625,0.35491699812432,0.000118072103863451,0.0147008947326213
MT1X,379.332373801808,1.77125635553882,0.604445565566526,0.000119236914267674,0.0147008947326213
DLK2,59.1496635251931,-1.19636912197946,0.395863294129483,0.000120288632221348,0.0147008947326213
CD163,53.5203173994432,1.95145519759073,0.672737649080373,0.000121627825763163,0.0147008947326213
SPEF1,85.3312895011018,-1.2661706034646,0.423621684260906,0.000122224185605837,0.0147008947326213
HGF,170.090949702789,2.11902514505053,0.730834044274942,0.000122440741932465,0.0147008947326213
CAPS,61.2092405732608,1.32371325214526,0.449975774774774,0.000123235683747069,0.0147008947326213
LOC105372871,12.2718955171046,-1.85705097283678,0.616853633131376,0.000123544190571512,0.0147008947326213
