,GSM3673216,GSM3673217,GSM3673218,GSM3673219,GSM3673220,GSM3673221,GSM3673222,GSM3673223
TMEM201,8.12706559556127,8.59653489740567,8.08678924300498,8.09021418794356,8.5180066730885,8.0582972181121,8.0095052269228,8.00460996757969
PIK3CD,8.74462278930518,9.09443399642891,8.64203689754058,8.86981751270363,8.74764188088398,8.66727569079967,8.54355707235367,8.21474256111649
CLSTN1,14.412512205407,13.4239405387533,14.1043494530119,14.3155987086428,12.9923861506626,13.5119059524509,13.5235921841678,13.4898710978173
CTNNBIP1,9.44666636566824,10.0284686754682,9.5727535163545,9.52077237279901,9.88176675468403,9.61019302517017,10.0521915948464,10.0092601524376
LOC105376717,3.99428352077181,3.9409950518068,3.80969656828255,4.20681111533686,4.84950157299573,4.47317504101489,4.11252661219532,4.4281900671307
LZIC,9.16446325614558,9.86777758405003,9.1649085473975,9.16941165165674,9.90479538805124,9.35937857497219,9.99573623380066,9.02384945596314
NMNAT1,7.17385285182837,7.22278936694056,6.60538010412643,6.97320703327803,7.71235775921097,7.3491601628081,7.3927782684884,6.75996741633631
RBP7,3.20401551017637,6.68800032432915,3.39917256347917,3.59870130167176,3.10266054901577,2.96113895375686,3.19360770537921,4.48015376544255
UBE4B,10.1518854145767,9.6444104318016,9.96493315299805,9.85720316753792,9.48835505299698,9.67001490767825,10.0392149019063,9.40104755595801
KIF1B,13.5409773937827,13.0401600716204,13.2603805929595,13.2443994558386,12.7918422378156,13.0583634595565,13.527745866013,12.9066535229443
PGD,9.58636656901671,10.1829760710858,9.79628463438016,9.90098870062443,12.6618543022428,10.2678522165706,9.95486043891843,10.1572491730388
CENPS-CORT,7.1128866537707,6.33576901849509,7.10123718806486,7.14489381220307,6.50486140945216,6.36542344183996,5.89241234355376,6.48270910970105
CENPS,6.1689118809636,5.56277038098053,6.65593882663311,6.49054728222771,6.24098478914923,5.8541041294282,5.78989609248132,6.30682758008552
CORT,7.03286707783473,6.05338033305431,6.55298502022421,6.66998078625602,5.7242436616144,6.17527593081044,4.81573930775878,5.59615842580794
DFFA,9.23052394638162,9.56154672032851,8.99366054487529,9.03831101256352,10.4898908247606,9.53464019507228,9.6258748879741,8.9358758929459
PEX14,8.69088386775269,8.32231030819146,8.73315564061159,8.82506065840674,8.7348478079501,8.82942583286457,8.36489939655499,8.98615973183646
CASZ1,3.99428352077181,3.60501631273746,2.99013117518934,3.59870130167176,4.32012619724332,5.35317812814406,3.72502557702786,3.15310136351788
TARDBP,10.6228066269693,10.6521165738917,10.5552530687237,10.7553557208337,11.0549224171614,11.0085147085247,10.8390459716338,10.6373174392484
MASP2,3.9250396379488,3.60501631273746,3.80969656828255,4.72275603217443,3.89869462529185,3.94702957840894,4.41767696472821,3.8502612636747
SRM,9.14936306372576,9.61535956683543,9.44918779232241,9.40558872634911,10.1086317298142,9.58331990325143,9.16867627332961,9.77322060176634
EXOSC10,8.57700031857598,8.39931831402832,8.17610675121762,8.27164674895936,8.07919414096391,7.81910693672965,8.26652490201695,8.52414247861534
EXOSC10-AS1,3.60911025442874,3.78276411547263,2.8231949097014,3.50091753222107,3.77083158176266,2.60656985047123,2.96177143017883,3.49369289385452
MTOR,11.1398364583587,10.0218419488034,10.8323486544958,10.6402241053852,9.21193968280006,10.2224705162948,10.4802106888876,10.1622282240249
MTOR-AS1,4.68063945497244,2.88395228080762,4.05548117213059,4.14341243902996,3.10266054901577,3.68682810827298,3.5686741892616,3.68296508287262
UBIAD1,7.52920993680304,8.00150858042683,7.50447755694591,6.98229435775307,7.47654642703404,7.71809109165631,7.76120169594312,7.85027220858658
DISP3,7.54082875581142,6.47164785470234,7.11936722171425,6.54061999192754,7.78862318805487,7.96830045093098,6.82943449187236,6.88087823945371
