"original_id","symbol","mapped"
"343099","CCDC18",TRUE
"100131564","CCDC18-AS1",TRUE
"1810","DR1",TRUE
"54874","FNBP1L",TRUE
"107985761","TRC-GCA7-1",TRUE
"8412","BCAR3",TRUE
"100129046","BCAR3-AS1",TRUE
"723788",NA,FALSE
"30836","DNTTIP2",TRUE
"2730","GCLM",TRUE
"24","ABCA4",TRUE
"105378858","LOC105378858",TRUE
"9411","ARHGAP29",TRUE
"105378859",NA,FALSE
"5825","ABCD3",TRUE
"2152","F3",TRUE
"101928079","SLC44A3-AS1",TRUE
"126969","SLC44A3",TRUE
"1266","CNN3",TRUE
"105378862",NA,FALSE
"729970","CNN3-DT",TRUE
"199857","ALG14",TRUE
"105378863","LOC105378863",TRUE
"148534","TLCD4",TRUE
"100527978","TLCD4-RWDD3",TRUE
"25950","RWDD3",TRUE
"58155","PTBP2",TRUE
"1806","DPYD",TRUE
"100873932","DPYD-AS1",TRUE
"51375","SNX7",TRUE
"163404","PLPPR5",TRUE
