ID,Description,NES,pval,padj,size,leadingEdge
WP4313,Ferroptosis,-0.9005292355508706,0.6703056768558951,0.8769342198120565,61,ACSL1;PRNP;GCH1;HMGCR;TFRC;DPP4;ACSL4;ACSL3;ALOX15;CISD1;TF;AKR1C1;SLC38A1;SLC39A8;ACSL6;VDAC2;NCOA4;CHMP5;SAT2;SLC40A1;MAP1LC3B;SLC39A14;NOX4;ATG5;HSPB1
WP3863,T cell antigen receptor TCR pathway during Staphylococcus aureus infection,-0.8957347686060505,0.6561844863731656,0.8769342198120565,46,FOS;CARD11;NFATC2;PIK3CA;PTPN6;NCK1;CHP1;SOS1;GSK3B;PRKCQ;PDK1;DLG1;MAP2K1;CALM1
WP5222,2q13 copy number variation syndrome,-0.8948050451152014,0.6596194503171248,0.8769342198120565,49,GAS6;GATA3;TMEM87B;IL23A;STAT1;LGALS3;MERTK;BCL2L11
WP5477,Molecular pathway for oxidative stress,-0.8841772282598003,0.6563146997929606,0.8769342198120565,44,FOS;PTGS2;MDM2;FOXO1;PIK3CA;MAP2K3;CDKN1A;ATF2;MAP3K5;SOD2;BCL2L1
WP5563,RNA Polymerase II transcription the preinitiation complex,0.880111171798466,0.6710526315789473,0.8769342198120565,57,MED16;NELFCD;MED24;MED9;TAF11;NELFB;MED22;TAF6;MED29;MED1;MED30;MED12;MED25;CTDP1;TBP;ERCC3;TAF10;MED17;TAF8;ELK1;TAF4;MED15;GTF2E2
WP4566,Translation inhibitors in chronically activated PDGFRA cells,0.8785990925799161,0.6520076481835564,0.8769342198120565,45,PRKCA;EIF4EBP1;RPS6KA2;EIF4A1;MAP2K7;AKT3;PIK3R2;AKT1;AKT2;MAP2K2;PRKACA;RPS6KB2;MAPK10;PIK3R3
WP4539,Synaptic signaling associated with autism spectrum disorder,-0.8781404360376619,0.6687370600414079,0.8769342198120565,44,PIK3R1;CAMK2B;PRKAA2;PRKAB2;PIK3CA
WP4206,Hereditary leiomyomatosis and renal cell carcinoma pathway,-0.8772722990751676,0.6482617586912065,0.8769342198120565,19,VEGFA;HIF1A;EGLN1;SLC2A1;PDK1
WP4919,Neuroinflammation,-0.8763778788820549,0.643298969072165,0.8769342198120565,12,FOS
WP2035,Follicle stimulating hormone FSH signaling,0.867501751994579,0.650197628458498,0.8769342198120565,21,PRKCA;EIF4EBP1;AKT1;RHEB;GRK6;PRKACA;RPS6KB2;CREB1;RAF1;MAPK3;RPS6KB1
WP5276,Estrogen metabolism,0.8649087055325612,0.6647509578544061,0.8769342198120565,16,CYP1B1
WP3851,TLR4 signaling and tolerance,0.8642734277916988,0.6538461538461539,0.8769342198120565,26,IRAK1;NFKBIA;TRAF3;NFKB1;IKBKE;IRAK3
WP5497,Cyclin dependent kinase 4 6 inhibitors in breast cancer,0.8637333662456013,0.6616257088846881,0.8769342198120565,32,CDK4;CDK2;HRAS;EGFR;AKT3;CCNE1;IGF1R;NRAS;PIK3R2;AKT1;AKT2;PIK3CD;PIK3R3
WP1584,Type II diabetes mellitus,-0.8624473930487043,0.6541666666666667,0.8769342198120565,16,PRKCZ;INSR;KCNJ11;SOCS4;SLC2A2;SLC2A4;MAPK8
WP205,IL7 signaling,-0.8591469681016771,0.6687116564417178,0.8769342198120565,19,PIK3R1;PTK2B;STAT1;GSK3B
WP5331,Autophagy in pancreatic ductal adenocarcinoma,0.8548065054391831,0.6738703339882122,0.8769342198120565,20,TP53;HMGB1;NFKB1;TFE3
WP5469,Hallmark of cancer metastasis and epithelial to mesenchymal transition,-0.8546671204105941,0.6713709677419355,0.8769342198120565,21,CDH1;GRHL2;KLF8
WP5233,Arsenic metabolism and reactive oxygen species generation,-0.8513958468410172,0.6680161943319838,0.8769342198120565,10,ATP1A1;GSTO1;SDHA;MT-ND1
WP5299,Ganglio series sphingolipid metabolism,-0.849548200217171,0.6660039761431411,0.8769342198120565,11,ST3GAL5
WP5516,IL23 inhibitors in inflammatory bowel disease,-0.8437429283388725,0.6740890688259109,0.8769342198120565,10,IL23A;STAT1
WP5074,Kallmann syndrome,-0.8402466412258935,0.6625514403292181,0.8769342198120565,17,ANOS1;PIK3CA;MYRF
